Episode,Seed,Sparsity,Total Steps,Reward,Completion Rate
459,947384,0.3,186,128.7066375,0.886
460,979054,0.7,108,72.03914151,0.808
461,232979,0.5,170,79.65260446,0.47
462,741108,0.3,140,79.9185684,0.64
463,735429,0.5,178,122.2617007,0.878
464,164864,0.7,97,53.99692532,0.597
465,632639,0.3,193,89.0988871,0.493
466,581106,0.7,131,88.25841954,0.831
467,851280,0.5,128,58.11031273,0.428
468,451229,0.5,148,84.87740025,0.648
469,256440,0.7,133,75.31746677,0.633
470,609648,0.3,131,59.44637261,0.431
471,767088,0.7,145,99.01454222,0.845
472,824617,0.7,154,70.81287649,0.454
473,946900,0.3,196,92.39191809,0.496
474,618642,0.5,126,84.84878907,0.826
475,220346,0.3,206,120.6999202,0.706
476,103741,0.5,145,98.6327979,0.845
477,679949,0.3,84,46.11103383,0.584
478,312676,0.7,154,104.6671752,0.854
479,786069,0.7,140,63.60809369,0.44
480,925425,0.7,143,64.78690265,0.443
481,613019,0.7,210,99.18443501,0.51
482,658798,0.3,192,89.78669694,0.492
483,216368,0.7,142,96.13645861,0.842
484,769079,0.3,117,52.52988647,0.417
485,487739,0.3,141,95.26598644,0.841
486,529540,0.3,120,80.39783996,0.82
487,966705,0.5,133,89.94852322,0.833
488,938718,0.7,135,76.53746665,0.635
489,102015,0.5,177,81.43287714,0.477
490,846782,0.5,179,104.089705,0.679
491,589019,0.7,181,105.3277766,0.681
492,403996,0.3,123,55.50554959,0.423
493,942823,0.3,118,79.10502264,0.818
494,273805,0.3,145,98.34800944,0.845
495,521530,0.7,109,73.07541692,0.809
496,336086,0.7,115,51.04588246,0.415
497,862740,0.3,181,83.30589777,0.481
498,659715,0.3,141,95.3408632,0.841
499,94047,0.3,117,78.36941969,0.817
500,596986,0.7,85,56.14043945,0.785
501,27316,0.5,167,76.12271425,0.467
502,831854,0.7,203,118.2970202,0.703
503,363810,0.3,194,90.28148097,0.494
504,22230,0.3,158,108.0711099,0.858
505,8036,0.7,109,72.7502017,0.809
506,447990,0.5,113,50.29046263,0.413
507,863093,0.3,191,110.7967618,0.691
508,621051,0.7,140,94.7503517,0.84
509,618102,0.3,100,43.85789755,0.4
510,710147,0.5,162,111.0612084,0.862
511,499115,0.5,123,69.43199685,0.623
512,662184,0.5,148,85.50116464,0.648
513,869631,0.5,126,71.39468604,0.626
514,421343,0.7,157,89.44400066,0.657
515,317091,0.3,156,71.55818097,0.456
516,214529,0.5,121,81.55689782,0.821
517,426021,0.5,124,69.71250048,0.624
518,306888,0.3,136,77.44104588,0.636
519,712678,0.7,115,77.22278011,0.815
